Title,Ingredients
easy-french-toast-casserole,"1 cup brown sugar
 1/2 cup butter
 1 (8 ounce) loaf crusty french bread, cut into bite-size pieces, or as needed
 2 cups milk
 6 eggs
 2 teaspoons vanilla extract
 1 pinch ground cinnamon, or to taste
 1 tablespoon brown sugar, or as needed"
bacon-stuffed-french-toast-casserole,"1 pound bacon
 1/2 cup butter, sliced into pats
 12 slices bread
 1 1/2 tablespoons ground cinnamon, divided, or more to taste
 1 1/2 tablespoons white sugar, divided, or more to taste
 1 tablespoon brown sugar, divided, or more to taste
 1 pinch ground nutmeg, or more to taste (optional)
 1 1/2 cups milk
 5 eggs, beaten
 1 teaspoon vanilla extract"
french-toast-roll-ups-from-musselmans-apple-butter,"16 slices white sandwich bread
 1 cup musselman's\xae apple butter
 2 eggs
 1/4 cup milk
 3/4 teaspoon cinnamon, divided
 1/8 pinch ground nutmeg
 2 tablespoons butter, melted
 1 tablespoon sugar
 3 ounces cream cheese, softened
 1/4 cup apple butter
 1/2 cup powdered sugar
 2 tablespoons milk"
french-toast-pecan-cookies,"1 1/4 cups all-purpose flour
 1/2 cup white sugar
 1/2 cup packed brown sugar
 1 tablespoon ground cinnamon
 1/2 teaspoon baking soda
 1/2 cup butter, softened
 1 egg
 1 teaspoon vanilla extract
 1 teaspoon rum-flavored extract
 1/2 cup chopped pecans
 12 pecan halves (optional)
 1 pinch coarse salt, or to taste"
baked-french-toast-casserole,"french toast:
 6 large eggs
 2 cups half-and-half
 1 cup low-fat milk
 2 tablespoons white sugar
 1 teaspoon vanilla extract
 1 teaspoon ground cinnamon
 1 teaspoon nutmeg
 1 pinch salt
 1 loaf french bread, cut into 1-inch slices, praline topping:
 1 cup chopped pecans
 1 cup light brown sugar
 1 cup unsalted butter, melted
 2 teaspoons light corn syrup
 1 teaspoon ground cinnamon
 1 teaspoon ground nutmeg
 2 tablespoons confectioners' sugar, or to taste (optional)"
overnight-blueberry-french-toast-casserole,"1 (8 ounce) package cream cheese, softened
 1 cup confectioners' sugar
 2 tablespoons milk
 1 tablespoon vanilla extract, divided
 2 cups blueberries, divided
 2 loaves french bread, cubed
 2 cups milk
 8 eggs
 1 teaspoon ground cinnamon
 1/2 teaspoon ground nutmeg"
maple-french-toast-sandwich,"8 slices maple-cured bacon
 7 eggs
 3 tablespoons brown sugar
 2 tablespoons ground cinnamon
 1 tablespoon ground nutmeg
 4 slices bread
 5 tablespoons oil, or as needed
 1 teaspoon maple syrup, or to taste"
easy-baked-banana-french-toast,"8 eggs
 1 3/4 cups milk
 1/3 cup brown sugar
 1/4 cup butter, melted
 1 tablespoon vanilla extract
 1 teaspoon ground cinnamon
 1/4 teaspoon ground nutmeg
 12 slices wheat bread, cubed
 2 bananas, sliced"
overnight-gingerbread-french-toast,"1/4 cup butter
 1 loaf french bread, cut into 3/4-inch slices
 1/2 cup milk, or as needed
 3 eggs
 1/4 cup maple syrup
 1/4 cup molasses
 1 teaspoon ground cinnamon
 1 teaspoon ground allspice
 1 teaspoon ground ginger
 1/2 teaspoon ground nutmeg
 1/2 teaspoon ground cloves
 1 pinch salt, or to taste
 2 tablespoons confectioners' sugar for dusting, or to taste"
hillshire-farm-litl-smokies-french-toast-bites,"1 (12.5 ounce) package frozen french toast
 1 (14 ounce) package hillshire farm lit'l smokies\xae smoked sausage
 1/4 cup maple syrup, plus extra for brushing
 40 toothpicks
 1 teaspoon dijon mustard
 1 tablespoon confectioners' sugar"
bananas-foster-french-toast-bake,"cooking spray
 1 loaf french bread, cut diagonally into 1-inch slices
 1 1/2 cups half-and-half
 6 eggs, slightly beaten
 2 teaspoons vanilla extract
 1 teaspoon ground cinnamon
 1/2 teaspoon salt
 3 large bananas, cut diagonally into 1/2-inch slices
 1 cup brown sugar
 1/2 cup unsalted butter, melted
 2 tablespoons light corn syrup"
french-toast-sandwich,"2 eggs
 3 tablespoons milk
 3 tablespoons white sugar
 1/2 teaspoon vanilla extract
 4 slices plain bread, cut into 4 pieces
 1 cup oil for frying
 1 cup milk, divided
 2 tablespoons custard powder
 1/2 cup confectioners' sugar
 1/2 cup whipped cream
 8 strawberries, halved
 8 toothpicks"
fruity-french-toast-sandwiches,"2 tablespoons cream cheese
 2 tablespoons jam (any flavor)
 1 1/2 cups milk
 1 large egg
 1/8 teaspoon vanilla extract
 1 dash ground cinnamon
 2 slices bread"
yummy-and-healthy-banana-french-toast-sandwich,"2 tablespoons liquid egg substitute
 1 tablespoon vanilla-flavored soy milk (such as silk\xae)
 1 dash vanilla extract
 1 dash ground cinnamon
 1 banana, thinly sliced
 2 slices whole wheat bread, cooking spray"
french-toast-wrapped-in-bacon,"2 large eggs
 1 tablespoon ground cinnamon
 1 tablespoon vanilla extract
 1 cup maple syrup
 2 slices bread
 8 slices bacon"
